Sheffield City Heliport,53.394,-1.388
Cranfield Airport,52.072,-0.616
Exeter International Airport,50.734,-3.413
Bristol Filton Airport,51.519,-2.590
Oxford (Kidlington) Airport,51.836,-1.320
RAF Benson,51.616,-1.095
RAF Lakenheath,52.409,0.560
RAF Mildenhall,52.361,0.486
RAF Wattisham,52.127,0.956
RAF Wyton,52.357,-0.107
RAF Fairford,51.682,-1.790
RAF Brize Norton,51.75,-1.583
RAF Odiham,51.234,-0.942
DCAE Cosford Air Base,52.639,-2.305
RAF Northolt,51.553,-0.418
RAF Coningsby,53.092,-0.166
RAF Dishforth,54.137,-1.420
Leeming Airport,54.292,-1.535
Leeds East Airport,53.834,-1.195
RAF Honington,52.342,0.772
RAF Cottesmore,52.735,-0.648
RAF Scampton,53.307,-0.550
RAF Wittering,52.612,-0.476
RAF Linton-On-Ouse,54.048,-1.252
RAF Waddington,53.166,-0.523
RAF Topcliffe,54.205,-1.382
RAF Cranwell,53.030,-0.483
RAF Barkston Heath,52.962,-0.561
RAF Marham,52.648,0.550
Mount Pleasant Airport,-51.822,-58.447
Amsterdam Airport Schiphol,52.308,4.763
Budel Airfield Kempen,51.255,5.601
Maastricht Aachen Airport,50.911,5.770
Deelen Air Base,52.060,5.873
Drachten Airport,53.119,6.129
Eindhoven Airport,51.450,5.374
Eelde Airport,53.119,6.579
Gilze Rijen Air Base,51.567,4.931
De Kooy Airport,52.923,4.780
Lelystad Airport,52.460,5.527
Leeuwarden Air Base,53.228,5.760
Rotterdam The Hague Airport,51.956,4.437
Soesterberg Air Base,52.127,5.276
Twente Airport,52.275,6.889
Valkenburg Naval Air Base,52.166,4.417
Woensdrecht Air Base,51.449,4.342
Cork Airport,51.841,-8.491
Galway Airport,53.300,-8.941
Dublin Airport,53.421,-6.270
Ireland West Knock Airport,53.910,-8.818
Kerry Airport,52.180,-9.523
Casement Air Base,53.301,-6.451
Shannon Airport,52.702,-8.924
Sligo Airport,54.280,-8.599
Waterford Airport,52.187,-7.086
Aarhus Airport,56.299,10.619
Billund Airport,55.740,9.151
Copenhagen Kastrup Airport,55.617,12.656
Esbjerg Airport,55.525,8.553
Grønholt Hillerød Airport,55.941,12.382
Karup Airport,56.297,9.124
Læsø Airport,57.277,11.000
Lolland Falster Maribo Airport,54.699,11.440
Odense Airport,55.476,10.330
Kruså-Padborg Airport,54.870,9.279
Copenhagen Roskilde Airport,55.585,12.131
Bornholm Airport,55.063,14.759
Sønderborg Airport,54.964,9.791
Skrydstrup Air Base,55.221,9.267
Skive Airport,56.550,9.172
Thisted Airport,57.068,8.705
Kolding Vamdrup Airfield,55.436,9.330
Vagar Airport,62.063,-7.277
Vesthimmerlands Flyveplads,56.846,9.458
Stauning Airport,55.990,8.353
Aalborg Airport,57.092,9.849
Luxembourg-Findel International Airport,49.623,6.204
Ålesund Airport,62.562,6.119
Andøya Airport,69.292,16.144
Alta Airport,69.976,23.371
Bømoen Airport,60.638,6.501
Brønnøysund Airport,65.461,12.217
Bodø Airport,67.269,14.365
Bergen Airport Flesland,60.293,5.218
Båtsfjord Airport,70.600,29.691
Kristiansand Airport,58.204,8.085
Geilo Airport Dagali,60.417,8.518
Bardufoss Airport,69.055,18.540
Harstad/Narvik Airport Evenes,68.491,16.678
Leirin Airport,61.015,9.288
Florø Airport,61.583,5.024
Oslo Lufthavn,60.121,11.050
Haugesund Airport,59.345,5.208
Hasvik Airport,70.486,22.139
Kristiansund Airport (Kvernberget),63.111,7.824
Kjeller Airport,59.969,11.036
Kirkenes Airport (Høybuktmoen),69.725,29.891
Lista Airport,58.099,6.626
Molde Airport,62.744,7.262
Mosjøen Airport (Kjærstad),65.783,13.214
Banak Airport,70.068,24.973
Notodden Airport,59.565,9.212
Ørland Airport,63.698,9.604
Røros Airport,62.578,11.342
Moss Airport Rygge,59.378,10.785
Svalbard Airport Longyear,78.246,15.465
Skien Airport,59.185,9.566
Stord Airport,59.791,5.340
Sandnessjøen Airport (Stokka),65.956,12.468
Tromsø Airport,69.683,18.918
Sandefjord Airport Torp,59.186,10.258
Trondheim Airport Værnes,63.457,10.923
Stavanger Airport Sola,58.876,5.637
Babice Airport,52.268,20.910
Gdańsk Lech Wałęsa Airport,54.377,18.466
Kraków John Paul II International Airport,50.077,19.784
Muchowiec Airport,50.238,19.034
Katowice International Airport,50.474,19.08
Mielec Airport,50.322,21.462
Poznań-Ławica Airport,52.421,16.826
Rzeszów-Jasionka Airport,50.110,22.018
Szczecin-Goleniów Solidarność Airport,53.584,14.902
Redzikowo Air Base,54.478,17.107
Swidwin Military Air Base,53.790,15.826
Warsaw Chopin Airport,52.165,20.967
Copernicus Wrocław Airport,51.102,16.885
Zielona Góra-Babimost Airport,52.138,15.798
Malmen Air Base,58.402,15.525
Bråvalla Air Base,58.610,16.103
Uppsala Airport,59.897,17.588
Ronneby Airport,56.266,15.265
Råda Air Base,58.498,13.053
Gothenburg-Landvetter Airport,57.662,12.279
Jönköping Airport,57.757,14.068
Falköping Airport,58.169,13.587
Lidköping-Hovby Airport,58.465,13.174
Gothenburg City Airport,57.774,11.870
Skövde Airport,58.456,13.972
Trollhättan-Vänersborg Airport,58.318,12.345
Karlsborg Air Base,58.513,14.507
Såtenäs Air Base,58.426,12.714
Barkarby Airport,59.414,17.882
Karlskoga Airport,59.345,14.495
Mora Airport,60.957,14.511
Stockholm Skavsta Airport,58.788,16.912
Arvika Airport,59.675,12.639
Emmaboda Airfield,56.610,15.604
Feringe Airport,56.950,13.921
Kristianstad Airport,55.921,14.085
Landskrona Airport,55.945,12.869
Oskarshamn Airport,57.350,16.497
Anderstorp Airport,57.264,13.599
Kalmar Airport,56.685,16.287
Malmö Sturup Airport,55.536,13.376
Halmstad Airport,56.691,12.820
Hagshult Air Base,57.292,14.137
Växjö Kronoberg Airport,56.929,14.727
Hallviken Airport,63.738,15.458
Hedlanda Airport,62.408,13.747
Sveg Airport,62.047,14.422
Gällivare Airport,67.132,20.814
Hudiksvall Airport,61.768,17.080
Jokkmokk Airport,66.496,20.147
Kramfors Sollefteå Airport,63.048,17.768
Lycksele Airport,64.548,18.716
Optand Airport,63.128,14.802
Sundsvall-Härnösand Airport,62.528,17.443
Örnsköldsvik Airport,63.408,18.989
Piteå Airport,65.398,21.260
Kiruna Airport,67.821,20.336
Orsa Airport,61.189,14.712
Skellefteå Airport,64.624,21.076
Sättna Airport,62.481,17.002
Umeå Airport,63.791,20.282
